estimates,type,sample_id
3.046544681563121,beta 1 hat,912
1.9918800263429537,beta 0 hat,911
3.046622068634245,beta 1 hat,911
1.9915600383744063,beta 0 hat,910
3.0467161869610893,beta 1 hat,910
1.9916088686374547,beta 0 hat,909
3.0462998645899915,beta 1 hat,909
1.9913976987180124,beta 0 hat,908
3.0465394124414362,beta 1 hat,908
1.9911154450014346,beta 0 hat,907
3.046392313639966,beta 1 hat,907
1.9912685899932367,beta 0 hat,906
3.0464481472690483,beta 1 hat,906
1.9914578302887418,beta 0 hat,905
3.0465510745565205,beta 1 hat,905
1.9913810733968555,beta 0 hat,904
3.0464322015950653,beta 1 hat,904
1.9913457873932332,beta 0 hat,903
3.0463671944106236,beta 1 hat,903
1.9915678302850326,beta 0 hat,902
3.0464172938482688,beta 1 hat,902
1.991684298893809,beta 0 hat,901
3.0462673479750184,beta 1 hat,901
1.9913225904766099,beta 0 hat,900
3.0462335007633086,beta 1 hat,900
1.9910745098615783,beta 0 hat,899
3.0459615925216164,beta 1 hat,899
1.9914091128446219,beta 0 hat,898
3.0460201863713396,beta 1 hat,898
1.9911364154229723,beta 0 hat,897
3.0459570203888804,beta 1 hat,897
1.9911486065959427,beta 0 hat,896
3.046161678316175,beta 1 hat,896
1.9910870169177617,beta 0 hat,895
3.046187093025066,beta 1 hat,895
1.990886275109169,beta 0 hat,894
3.045998410385538,beta 1 hat,894
1.990871015372436,beta 0 hat,893
3.0457508137683806,beta 1 hat,893
1.9905244327016596,beta 0 hat,892
3.0456342832572476,beta 1 hat,892
1.9906626263126357,beta 0 hat,891
3.0456388678581474,beta 1 hat,891
1.9906569144675696,beta 0 hat,890
3.045562110354905,beta 1 hat,890
1.990475994867263,beta 0 hat,889
3.0456452784332417,beta 1 hat,889
1.9903619817312856,beta 0 hat,888
3.04542459950151,beta 1 hat,888
1.9899944358322077,beta 0 hat,887
3.045636183982796,beta 1 hat,887
1.9900223084781843,beta 0 hat,886
3.045496797271506,beta 1 hat,886
1.9903392010181744,beta 0 hat,885
3.045277526228556,beta 1 hat,885
1.9906086227184456,beta 0 hat,884
3.0452990671575435,beta 1 hat,884
1.9910865780169127,beta 0 hat,883
3.0447645855060363,beta 1 hat,883
1.991200244661304,beta 0 hat,882
3.044811611670329,beta 1 hat,882
1.991832117520008,beta 0 hat,881
3.0446236527427346,beta 1 hat,881
1.9918261014615084,beta 0 hat,880
3.0446100041475956,beta 1 hat,880
1.9920170407628925,beta 0 hat,879
3.0447807172676344,beta 1 hat,879
1.9917396286865285,beta 0 hat,878
3.0449883395496116,beta 1 hat,878
1.991502743742245,beta 0 hat,877
3.044862904642846,beta 1 hat,877
1.9915967673355266,beta 0 hat,876
3.0449450931592796,beta 1 hat,876
1.9919145871403545,beta 0 hat,875
3.0451368139284014,beta 1 hat,875
1.9918434405487186,beta 0 hat,874
3.0449870821616565,beta 1 hat,874
1.9920225501468773,beta 0 hat,873
3.0449985540471345,beta 1 hat,873
1.9923013776067873,beta 0 hat,872
